code,yoy,mom
6415,31.59,-5.11
6451,4.89,-2.65
6525,18.95,1.64
6573,-9.78,12.35
6854,5.08,9.17
6962,14.21,-1.73
7749,73.68,3.88
5215,30.81,-29.64
6591,-62.68,-29.36
6933,72.6,-12.04
3673,-2.59,-9.61
4935,-34.29,-6.28
5243,-2.68,-2.8
6456,-50.87,-17.86
4977,-11.23,41.24
6863,73.79,-18.08
4912,30.95,-0.86
4927,4.15,8.12
4943,56.13,3.53
4958,37.39,6.61
6672,34.98,3.99
6781,20.86,5.11
6862,-35.0,-7.7
6924,3.95,-31.13
3665,41.34,-0.41
5225,11.8,6.96
8499,85.65,-0.31
2923,133.58,27.09
5546,-40.92,24.64
2637,45.86,10.4
2723,-4.99,9.68
2929,-0.44,-6.29
2939,5.51,32.55
4807,48.79,24.01
5906,8.22,-3.05
5907,2.7,-4.03
8429,-3.58,10.27
6641,18.39,-16.48
6887,2.06,35.35
7823,3.02,-3.5
2762,7.26,2.58
6768,-1.95,-14.33
6890,0.86,-14.23
6965,18.11,21.3
8467,-30.34,-21.09
9802,-19.57,-2.23
6671,-26.07,-29.5
6807,-20.15,-0.92
8482,30.79,12.91
5284,43.31,4.69
5871,1.29,5.29
6957,21.15,-15.24
8404,5.13,-9.67
8411,11.76,4.1
8442,13.38,-0.44
8466,-11.64,2.2
8488,74.87,18.04
9105,-4.05,5.58
1264,2.72,-11.87
1294,31.23,-10.91
1295,-23.38,-23.04
1780,57.04,-10.6
1796,-8.89,-8.76
4205,-7.45,-5.07
4207,5.63,-3.76
6846,-20.36,0.71
7743,41.27,-3.08
4303,0.38,5.53
4304,-3.13,-24.25
4305,-18.29,-15.06
9950,-20.05,-3.61
4401,23.23,7.56
4402,-32.94,-37.79
4406,-79.26,-20.12
4413,-47.35,-52.6
4417,-3.42,7.86
4420,-8.88,-14.1
4432,-38.43,24.25
4433,-52.66,-21.76
6506,7.63,-12.7
1570,-0.2,3.68
1580,-10.98,-14.0
1586,17.25,-3.92
1599,-40.18,-8.23
2066,8.22,9.13
2067,-17.0,0.87
2070,-10.58,-27.77
2235,61.88,-2.97
3162,21.85,13.44
3226,-1.83,17.33
3379,-62.48,53.03
3685,5.77,-46.66
4502,23.67,-2.56
4503,18.04,1.48
4506,0.58,8.14
4510,-2.6,-27.82
4513,33.52,-9.22
4523,72.14,61.44
4527,40.07,0.58
4528,9.36,-6.69
4533,9.53,36.57
4534,36.46,-8.6
4535,3.87,-0.01
4538,23.96,15.92
4543,0.02,1.7
4549,-2.27,26.01
4550,-5.28,-0.6
4558,36.06,-32.41
4561,15.01,-27.64
4563,-34.19,-25.05
4568,-4.66,-12.75
4580,1.89,8.26
4584,-15.05,-2.93
5381,39.28,-47.7
6122,-16.73,-8.08
6125,79.19,3.21
6425,44.84,59.99
6603,-28.29,-1.97
6609,-26.71,-19.39
6843,-5.98,-23.51
6982,38.66,11.56
7642,4.02,51.21
7709,53.99,-41.06
7718,-2.84,32.53
8027,140.17,41.86
8083,-17.52,-5.73
8107,-31.67,47.92
8255,-11.62,-8.79
9951,2.65,3.08
2061,15.72,-1.99
1742,0.7,-1.22
3430,6.24,-12.22
4706,24.82,-15.94
4707,-5.3,55.42
4711,8.86,-18.58
4714,80.92,7.56
4716,-19.09,-18.01
4721,2.08,16.97
4741,30.27,0.46
4754,23.15,4.16
4767,-6.5,-5.65
4768,64.24,-43.8
4772,241.18,7.93
6509,-5.42,-21.25
1565,-16.7,-9.37
1777,-6.73,7.85
1781,89.11,80.74
1784,14.96,-4.9
1788,4.32,-6.61
1799,64.3,-35.79
1813,-10.42,-4.58
3118,-9.14,-15.16
3176,-19.8,1.21
3205,129.6,43.93
3218,6.61,-2.53
